,GAN,GAN_Feat,VGG,D_Fake,D_real
7300,4.922245025634766,2.617959499359131,1.2921947240829468,0.14244630932807922,0.4348679780960083
7400,3.741919755935669,2.8193304538726807,1.3997876644134521,0.31175515055656433,0.027119653299450874
7500,5.352300643920898,3.1308717727661133,1.503366231918335,0.05876437574625015,0.9490862488746643
7600,5.960742473602295,3.5305047035217285,1.7826193571090698,0.43114227056503296,0.067374587059021
7700,4.170866012573242,2.5489368438720703,1.3495004177093506,0.21622417867183685,0.10879586637020111
7800,5.501465797424316,3.167250394821167,1.576951026916504,0.1912868320941925,0.33844277262687683
7900,5.839208126068115,3.067685127258301,1.3505539894104004,1.1944571733474731,0.3032407760620117
8000,2.892660617828369,2.678206443786621,1.2367620468139648,1.0908104181289673,0.018458599224686623
8100,5.896364212036133,3.24751615524292,1.8585610389709473,0.38805434107780457,0.5464471578598022
8200,6.351503372192383,3.2585256099700928,1.7390105724334717,0.04687577486038208,0.24932530522346497
8300,6.883514881134033,3.6211347579956055,2.24495267868042,0.007078970316797495,1.106877326965332
8400,5.518864154815674,3.057673931121826,1.6920819282531738,1.0404295921325684,0.406233012676239
8500,5.750575542449951,2.8120920658111572,1.3875579833984375,0.18703331053256989,1.1681607961654663
8600,6.629675388336182,3.5540900230407715,2.0477237701416016,0.7489941716194153,0.6645782589912415
8700,8.279682159423828,4.44812536239624,2.091446876525879,0.35263770818710327,0.2886560261249542
8800,4.6508378982543945,3.1990554332733154,1.8205184936523438,0.7790343761444092,0.03962951526045799
8900,4.5034074783325195,3.0787062644958496,1.523073673248291,1.8803492784500122,0.36053386330604553
9000,7.193875789642334,3.7321596145629883,1.5926860570907593,0.018176386132836342,0.4718261957168579
9100,3.4273691177368164,2.3203370571136475,1.3665452003479004,1.656578540802002,0.05934199318289757
9200,4.972743988037109,3.5474557876586914,1.7030102014541626,0.43447229266166687,0.020923839882016182
9300,6.118814468383789,2.6928160190582275,1.3874232769012451,0.002081355545669794,1.8906323909759521
9400,5.438949108123779,2.813016653060913,1.5684832334518433,0.4823201596736908,1.0087019205093384
9500,6.551890850067139,3.4696311950683594,1.6756850481033325,0.057889461517333984,0.5503450036048889
9600,7.343292713165283,3.784790515899658,1.7397271394729614,0.11291179805994034,0.2926296293735504
9700,4.467569828033447,2.2814064025878906,1.2317192554473877,0.37470459938049316,0.26153314113616943
9800,6.64300537109375,2.8647851943969727,1.5685596466064453,0.521476686000824,1.2591054439544678
9900,6.768850803375244,3.6273419857025146,1.8063627481460571,0.2203415036201477,1.4393353462219238
10000,6.025371551513672,3.671813488006592,2.1039011478424072,1.5043210983276367,0.28942811489105225
10100,5.497568607330322,2.7330262660980225,1.4355573654174805,0.04524877294898033,0.5107390880584717
10200,6.390104293823242,3.498328447341919,1.9925448894500732,1.3273556232452393,0.4335971772670746
10300,3.3879356384277344,2.8421428203582764,1.3277851343154907,0.9076470732688904,0.026503628119826317
10400,5.586435794830322,3.2155044078826904,2.240116834640503,1.048112154006958,0.20785292983055115
10500,5.165164947509766,3.0300283432006836,1.3250327110290527,0.18110612034797668,0.11023491621017456
10600,5.983866214752197,3.5425243377685547,1.5856709480285645,0.0308077335357666,0.4224889278411865
10700,6.190070152282715,4.1409807205200195,1.9934545755386353,0.22524233162403107,0.41694188117980957
10800,4.972716331481934,3.364110231399536,1.671126127243042,1.9760034084320068,0.6612292528152466
10900,4.0399932861328125,3.1701579093933105,1.452965497970581,1.5128540992736816,0.40562331676483154
11000,3.992772102355957,2.554788589477539,1.3248875141143799,0.21945160627365112,0.08683208376169205
11100,5.72706937789917,3.7068557739257812,1.735263466835022,0.5933742523193359,0.2874469757080078
11200,6.058063507080078,3.151064395904541,1.6691428422927856,0.00095009506912902,0.28172582387924194
11300,5.328918933868408,2.7150418758392334,1.3266409635543823,0.11230838298797607,0.5337455868721008
11400,5.502357482910156,2.6278388500213623,1.2882115840911865,0.9583208560943604,0.8259694576263428
11500,4.870440483093262,3.0877976417541504,1.6398394107818604,0.7851625680923462,0.10041044652462006
11600,4.136220932006836,2.7413902282714844,1.4275376796722412,1.6328396797180176,0.49740365147590637
11700,4.399157524108887,2.942186117172241,1.5967414379119873,0.46334338188171387,0.05121714994311333
11800,4.442174434661865,3.287217378616333,1.5587272644042969,1.0130083560943604,0.006025436334311962
11900,4.872664928436279,3.041673183441162,1.5653084516525269,0.4059222638607025,0.1270187497138977
12000,3.9335720539093018,2.3836722373962402,1.2607004642486572,0.10987016558647156,0.14433181285858154
12100,4.238214492797852,2.935837507247925,1.6971073150634766,0.9863208532333374,0.0264730304479599
12200,7.164674758911133,3.5369296073913574,1.6200096607208252,0.5376750826835632,0.38594961166381836
12300,6.428339958190918,2.9457755088806152,1.6791945695877075,0.2827996611595154,0.0985531210899353
12400,8.066271781921387,3.720673084259033,2.095804452896118,1.1910408735275269,0.061970967799425125
12500,4.000030517578125,2.1580491065979004,1.1139938831329346,0.4101354479789734,0.1484791785478592
12600,3.226536512374878,2.823723077774048,1.5836575031280518,0.9275112748146057,0.0030429232865571976
12700,4.7527570724487305,2.6369338035583496,1.3023993968963623,0.9399141669273376,0.2866699695587158
12800,3.968146324157715,2.5213091373443604,1.219788908958435,1.5645946264266968,0.5391311049461365
12900,4.727358818054199,2.4490413665771484,1.2499529123306274,0.003603036981076002,0.809135913848877
13000,3.81071400642395,2.3492631912231445,1.2932779788970947,0.17060522735118866,0.006594544742256403
13100,5.514889240264893,2.721585273742676,1.4033875465393066,0.0504952073097229,1.1392985582351685
13200,5.641571044921875,2.977382183074951,1.6013847589492798,0.023847442120313644,1.4768282175064087
13300,4.891563415527344,2.5598812103271484,1.275298833847046,0.007998832501471043,0.8793852925300598
13400,6.056200981140137,3.0950026512145996,1.7273920774459839,0.2089979648590088,0.37298405170440674
13500,5.207830429077148,2.5399010181427,1.3656995296478271,0.10025016963481903,1.074981927871704
13600,3.8786139488220215,2.3663039207458496,1.1942623853683472,0.2895010709762573,0.03671067953109741
13700,4.776910781860352,2.3240954875946045,1.0560481548309326,1.0289461612701416,0.05646635219454765
13800,5.853817939758301,3.011322498321533,1.6706007719039917,0.27282261848449707,0.72280353307724
13900,4.178528785705566,3.011124610900879,1.554388403892517,0.34426042437553406,0.048299338668584824
14000,6.7508344650268555,3.1503279209136963,1.6432541608810425,0.3000688850879669,0.4007929563522339
14100,5.05797004699707,3.1456856727600098,1.625885248184204,1.440163254737854,0.3591005802154541
14200,5.376642227172852,2.6609108448028564,1.345991849899292,0.032171256840229034,0.23636747896671295
14300,5.662854194641113,3.1331374645233154,1.2995216846466064,0.0008166572079062462,1.7891162633895874
14400,5.185303211212158,2.4429855346679688,1.2185115814208984,0.000902637664694339,0.8428348302841187
14500,5.963292598724365,2.8917036056518555,1.4788812398910522,0.16741745173931122,0.6020673513412476
14600,5.326678276062012,2.8079020977020264,1.5131738185882568,0.06552198529243469,1.0149673223495483
14700,5.830628395080566,3.4306507110595703,1.8402376174926758,0.2021089345216751,0.29329511523246765
14800,4.799540042877197,2.803792953491211,1.337921380996704,0.26017695665359497,0.08376616984605789
14900,5.313309669494629,3.1502881050109863,1.7623529434204102,0.5207419395446777,0.19151374697685242
15000,4.994780540466309,3.113715648651123,1.6942344903945923,1.4794633388519287,0.33240485191345215
15100,3.2506260871887207,2.31677508354187,1.2051256895065308,0.5281577706336975,0.12635721266269684
15200,4.358328819274902,3.083401918411255,1.7163870334625244,1.519993782043457,0.257245808839798
15300,4.208865165710449,2.618208885192871,1.3341524600982666,0.05523858964443207,0.9122794270515442
15400,5.213862895965576,3.504342794418335,1.6763805150985718,0.3455183207988739,0.014525462873280048
